Pokemon Diamond Version,Game Freak, 2007,
Civilization Revolution,Firaxis Games,2008,
Age of Empires: Mythologies,Griptonite Games,2008,
The Legend of Zelda: Phantom Hourglass,Nintendo,2007,
The <b id='clue4'>Legend</b> of Zelda: Spirit Tracks,Nintendo,2009,
Pokemon Black Version,Game Freak,2011,
Plants vs. Zombies,PopCap Games,2009,
Pokemon SoulSilver Version,Game Freak,2009,
Pokemon Black Version 2,Game Freak,2012,
Pokemon Mystery Dungeon: Explorers of Sky,Chunsoft,2007,
Chrono Trigger,Square Enix,2008,
Fire Emblem: Shadow Dragon,Intelligent Systems,2008,
Glory of Heracles,Nintendo/Paon,2008,
Fire Emblem: Shin Monsho no Nazo ~Hikari to Kage no Eiyu~ (New Mystery of the Emblem: Heroes of Light and Shadow),Intelligent Systems,2010,