Age of Empires,Ensemble Studios,1997,
Age of Empires: The Rise of Rome,Ensemble Studios,1998,
Age of Empires II: The Age of Kings,Ensemble Studios,1999,
Age of Empires II: The Conquerors,Ensemble Studios,2000,
Chaos Island: The Lost World,Danger Close Games,1997,
Jurassic Park: Trespasser,DreamWorks Interactive,1998,
Age of Mythology,Ensemble Studios,2002,
Age of Mythology: The Titans,Ensemble Studios,2003,
Age of Empires III,Ensemble Studios,2005,
Age of Empires III: The War Chiefs,Ensemble Studios,2006,
Age of Empires III: The Asian Dynasties,Ensemble Studios,2007,
Sid Meier's Civilization IV: Beyond the Sword,Firaxis Games,2007,
<b id='clue6'>Spore</b>,Maxis,2008,
Minecraft,Mojang,2009,
Wizard 101,Kingsisle Entertainment,2008,
Sid Meier's Civilization V,Firaxis Games,2010,
Sid Meier's Civilization V: Gods & Kings,Firaxis Games,2012,
The Elder Scrolls V: Skyrim,Bethesda Game Studios,2011,
Garry's Mod,Facepunch Studios,2004,
Super Meat Boy,Team Meat,2010,
Bastion,Supergiant Games,2011,
Gravity Bone,Blendo Games,2008,
Thirty Flights of Loving,Blendo Games,2012,
Facade,Procedural Arts,2005,
The Walking Dead,Telltale Games,2012,
The Binding of Isaac: Wrath of the Lamb,Edmund McMillen & Florian Himsl,2011,
Dear Esther,The Chinese Room,2012,
Portal,Valve,2007,
Portal 2,Valve,2011,
Left 4 Dead 2,Valve,2009,
Sid Meier's Civilization V: Brave New World,Firaxis Games,2013,
Fallout: New Vegas,Obsidian Entertainment,2010,
Dungeon Siege II,Gas Powered Games,2005,
Age of Empires II: HD Edition,Skybox Labs,2013,
Age of Empires II: The Forgotten,Skybox Labs/Forgotten Empires,2013,
LEGO The Lord of the Rings,Traveller's Tales,2012,
The Walking Dead: Season Two,Telltale Games,2013,
Machinarium,Amanita Design,2009,
Angry Video Game Nerd Adventures,FreakZone Games,2013,
Transistor,Supergiant Games,2014,
Sid Meier's Civilization: Beyond Earth,Firaxis Games,2014,
The Binding of Isaac: Rebirth,Nicalis,2014,
BattleBlock Theater,The <b id='clue2'>Behemoth</b>,2013,
Game of Thrones - A Telltale Game Series,Telltale Games,2014,
The Wolf Among Us,Telltale Games,2013,
Sid Meier's Civilization: Beyond Earth: Rising Tide,Firaxis Games,2014,
The Binding of Isaac: Afterbirth,Nicalis,2015,
Age of Empires II: The African Kingdoms,Forgotten Empires,2015,
Tales from the Borderlands,Telltale Games,2014,